#10000.000  0.800  30.000  10.000  0.700  0.000  25.000  2.000  0.700  1.000  25.000  2.000  0.700  0.900  25.000  2.000  3.000  1.000  1.000  1.000  10.000  0.000  1.000  201.000  0.000  9500.000  0.000  0.000  1.000  0.100  0.010  0.000  0.000  0.000  0.000  0.000  10.000  
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
87,29.47,25.76,26.63,25.75,24,303.10,655.64,803.40,1
88,32.34,27.28,24.74,23.91,23,305.07,374.48,811.43,1
89,39.16,32.92,23.79,27.59,22,305.57,96.50,819.54,1
90,44.67,34.87,25.28,26.72,21,299.91,123.22,827.74,0
91,36.50,29.87,26.47,26.15,20,291.55,149.37,836.02,0
92,34.04,28.47,26.75,26.44,19,287.85,175.81,844.38,0
93,27.44,23.79,24.50,25.06,18,285.32,200.87,852.82,0
94,30.29,26.15,25.78,24.43,17,287.68,225.30,861.35,0
95,32.29,25.46,24.65,25.49,16,287.68,250.79,869.96,0
96,38.48,31.90,24.58,26.46,15,288.44,277.25,878.66,0
97,32.57,23.95,24.53,24.93,14,282.19,302.18,887.45,0
98,25.39,22.64,22.75,24.46,13,284.07,326.64,896.32,0
99,29.06,23.30,22.46,24.03,12,287.58,63.09,905.29,1
100,27.32,22.36,22.40,24.68,11,290.71,87.77,914.34,0
101,34.39,25.53,24.33,24.96,10,295.18,112.72,923.48,0
102,35.26,29.60,25.26,25.73,9,296.62,138.46,932.72,0
103,29.82,27.96,27.61,25.06,8,293.72,163.51,942.05,0
104,35.50,31.06,27.64,26.88,7,292.33,190.39,951.47,0
105,32.04,27.97,26.56,26.27,6,287.40,216.66,960.98,0
106,30.74,26.62,27.20,24.49,5,285.37,241.15,970.59,0
107,26.74,24.37,27.89,27.12,4,284.62,268.27,980.30,0
108,31.40,25.46,26.35,25.89,3,286.28,7.89,990.10,1
109,37.63,32.79,25.61,25.53,2,286.91,33.42,1000.00,0
110,39.55,32.91,25.43,28.21,1,279.52,61.63,1010.00,0
111,31.92,23.88,26.77,26.05,1,279.50,87.67,1010.00,0
112,35.34,26.77,25.74,24.98,1,277.99,112.65,1010.00,0
113,37.64,31.54,27.04,26.82,1,277.48,139.47,1010.00,0
114,30.85,24.90,27.39,25.35,1,275.49,164.82,1010.00,0
115,31.09,28.73,26.01,25.65,1,272.90,190.48,1010.00,0
116,26.44,22.21,25.70,24.08,1,271.58,214.56,1010.00,0
117,26.62,22.22,26.67,23.96,1,270.47,238.52,1010.00,0
118,24.20,19.36,24.84,24.19,1,268.18,262.71,1010.00,0
119,27.88,26.01,25.54,23.41,1,267.67,286.12,1010.00,0
120,31.72,25.96,22.39,25.25,1,266.35,311.37,1010.00,0
121,32.87,25.20,23.54,25.00,1,268.35,336.37,1010.00,0
122,30.13,23.08,24.36,26.25,1,269.29,362.61,1010.00,0
123,27.29,17.98,24.76,26.62,1,269.42,389.23,1010.00,0
124,25.14,20.31,23.40,23.82,1,269.13,413.05,1010.00,0
125,28.37,24.47,24.20,26.16,1,270.30,439.21,1010.00,0
126,23.93,21.76,25.64,22.72,1,270.72,461.94,1010.00,0
127,28.62,23.16,23.25,23.52,1,269.58,485.46,1010.00,0
128,28.63,24.06,25.08,22.69,1,270.96,508.15,1010.00,0
129,26.81,23.22,24.20,24.00,1,270.47,532.15,1010.00,0
130,32.19,28.37,26.01,22.92,1,270.90,555.06,1010.00,0
131,36.26,30.39,24.91,24.37,1,269.38,579.43,1010.00,0
132,36.45,30.41,23.88,24.76,1,268.93,604.19,1010.00,0
133,30.60,26.54,26.81,23.30,1,269.55,627.49,1010.00,0
134,26.90,19.81,27.23,23.63,1,267.01,651.12,1010.00,0
135,23.25,18.75,23.98,22.62,1,263.76,673.74,1010.00,0
136,20.34,21.41,23.61,24.39,1,263.76,698.12,1010.00,0
137,21.68,23.63,23.08,22.01,1,264.16,720.13,1010.00,0
138,19.56,19.91,23.65,22.53,1,265.19,742.66,1010.00,0
139,27.37,24.31,23.54,23.80,1,265.69,766.46,1010.00,0
140,25.49,19.74,23.58,23.50,1,266.37,789.96,1010.00,0
141,26.28,22.92,23.44,24.87,1,267.06,814.83,1010.00,0
142,27.14,22.98,23.58,25.05,1,267.98,839.88,1010.00,0
143,28.78,22.17,21.84,26.21,1,268.83,866.09,1010.00,0
144,22.06,19.73,23.54,24.84,1,271.69,890.94,1010.00,0
145,24.32,17.91,23.82,24.84,1,272.97,915.78,1010.00,0
146,23.22,20.43,23.59,24.49,1,274.06,940.27,1010.00,0
147,22.65,19.92,25.03,22.54,1,275.52,962.81,1010.00,0
148,23.44,19.69,25.30,20.44,1,275.53,983.25,1010.00,0
149,26.95,18.41,24.53,22.84,1,275.25,1006.09,1010.00,0
150,35.19,31.30,23.77,23.34,1,275.79,1029.43,1010.00,0
151,30.57,25.04,25.18,23.33,1,277.22,1052.76,1010.00,0
152,34.76,29.80,24.01,24.10,1,277.24,1076.86,1010.00,0
153,30.96,23.72,24.18,24.42,1,278.55,1101.28,1010.00,0
154,27.92,27.34,27.13,24.23,1,279.81,1125.51,1010.00,0
155,25.98,21.07,26.31,23.52,1,277.95,1149.03,1010.00,0
156,30.76,26.94,24.61,23.79,1,276.81,1172.82,1010.00,0
157,25.67,19.72,26.56,21.72,1,277.42,1194.55,1010.00,0
158,25.91,25.43,26.72,23.15,1,275.95,1217.70,1010.00,0
159,29.33,24.60,26.92,23.08,1,274.15,1240.78,1010.00,0
160,33.38,29.42,24.89,20.06,1,271.96,1260.84,1010.00,0
161,32.70,26.12,23.85,22.01,1,271.77,1282.85,1010.00,0
162,22.60,19.32,24.85,22.12,1,272.71,1304.97,1010.00,0
163,22.11,24.01,23.95,23.13,1,272.65,1328.10,1010.00,0
164,26.18,21.92,25.75,22.01,1,273.57,1350.11,1010.00,0
165,24.92,17.78,26.31,23.54,1,272.61,1373.65,1010.00,0
166,19.42,19.42,25.38,24.65,1,270.93,1398.30,1010.00,0
167,14.66,15.51,25.26,22.91,1,270.11,1421.21,1010.00,0
168,23.51,19.93,26.08,20.26,1,269.34,1441.47,1010.00,0
169,22.61,21.50,24.91,18.88,1,267.58,1460.35,1010.00,0
170,18.41,14.70,25.04,17.74,1,266.94,1478.09,1010.00,0
171,19.55,16.10,24.11,20.43,1,266.09,1498.52,1010.00,0
172,16.42,14.13,23.53,20.44,1,266.17,1518.96,1010.00,0
173,19.89,21.97,22.42,20.23,1,266.90,1539.20,1010.00,0
174,25.16,21.78,22.15,23.10,1,268.93,1562.30,1010.00,0
175,24.74,22.03,23.46,23.87,1,271.46,1586.17,1010.00,0
176,25.42,22.35,24.40,24.12,1,272.80,1610.30,1010.00,0
177,26.42,25.41,24.70,23.12,1,273.24,1633.42,1010.00,0
178,25.19,22.66,24.75,24.44,1,273.39,1657.86,1010.00,0
179,21.71,14.01,26.02,24.94,85,274.75,1682.80,437.85,0
180,24.63,23.30,25.28,25.11,84,286.81,1421.10,442.23,1
181,29.37,27.23,23.92,25.49,83,289.86,1156.73,446.65,1
182,24.15,21.45,24.74,26.09,82,288.89,893.93,451.12,1
183,27.27,25.53,24.93,25.84,81,294.18,625.58,455.63,1
184,32.66,25.03,24.23,25.47,80,295.52,355.53,460.19,1
185,37.62,28.53,24.90,24.04,79,297.54,82.03,464.79,1
186,36.95,32.30,25.99,24.78,78,295.90,106.81,469.44,0
187,44.87,36.04,25.79,26.37,77,289.96,133.18,474.13,0
188,29.41,20.82,23.62,25.81,76,279.31,158.99,478.87,0
189,25.07,21.16,24.11,25.47,75,284.33,184.46,483.66,0
190,31.29,24.93,23.15,23.39,74,289.48,207.85,488.50,0
191,33.00,29.48,21.86,26.21,73,291.01,234.06,493.38,0
192,25.66,22.35,23.57,24.14,72,287.69,258.20,498.31,0
193,29.06,24.75,23.80,24.15,71,291.87,282.35,503.30,0
194,26.84,21.42,24.75,22.95,70,293.83,11.47,508.33,1
195,29.43,24.02,25.23,21.99,69,299.65,33.46,513.41,0
196,29.78,22.47,25.53,22.40,68,303.20,55.86,518.55,0
197,37.99,28.47,25.58,25.28,67,308.80,81.14,523.73,0
198,39.75,34.11,25.54,23.46,66,308.36,104.60,528.97,0
199,38.74,31.79,28.12,24.63,65,301.68,129.23,534.26,0
200,44.44,37.43,28.19,26.91,64,296.88,156.14,539.60,0
201,37.43,32.76,26.82,25.35,63,285.39,181.49,545.00,0
202,34.66,25.62,25.67,25.30,62,277.89,206.79,550.45,0
203,26.13,22.34,25.63,26.79,61,277.50,233.58,555.95,0
204,29.68,24.67,25.47,26.27,60,280.68,259.85,561.51,0
205,27.65,21.09,23.69,26.72,59,281.61,286.57,567.13,0
