# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,26.47,22.53,24.46,25.39,8,279.59,206.89,939.47,0
2,24.51,23.62,24.85,22.83,7,282.77,229.73,948.86,0
3,25.30,25.17,25.46,21.86,6,285.07,251.59,958.35,0
4,24.50,26.70,24.33,23.55,5,285.89,275.14,967.93,0
5,34.64,26.47,24.20,26.15,4,285.10,16.19,977.61,1
6,30.56,26.48,25.98,26.88,3,284.49,43.07,987.39,0
7,28.22,26.67,25.72,24.12,2,283.81,67.19,997.26,0
8,27.28,26.21,25.67,24.80,1,282.86,91.99,1007.23,0
9,30.70,26.41,24.56,23.73,1,282.91,115.73,1007.21,0
10,31.81,24.40,25.61,22.90,1,284.18,138.62,1007.18,0
11,29.37,25.13,26.37,23.85,1,284.43,162.47,1007.15,0
12,26.96,25.51,25.23,24.27,1,283.87,186.73,1007.12,0
13,29.36,24.39,26.12,24.08,1,284.50,210.82,1007.09,0
14,32.27,24.44,25.74,25.12,1,284.22,235.93,1007.06,0
15,30.86,26.71,26.61,24.95,5,285.95,260.88,967.63,0
16,33.28,26.73,26.77,26.56,4,285.16,2.28,977.30,1
17,34.42,26.79,26.30,24.86,3,284.28,27.13,987.07,0
18,30.98,27.86,26.32,24.77,2,283.23,51.91,996.95,0
19,35.05,25.71,26.67,23.05,1,280.91,74.96,1006.91,0
20,33.42,23.94,25.92,23.50,1,279.67,98.46,1006.88,0
21,34.91,24.45,24.33,25.22,75,281.30,123.68,480.51,0
22,32.91,26.13,25.14,23.57,74,282.53,147.25,485.32,0
23,32.31,26.06,24.87,24.41,73,282.04,171.65,490.17,0
24,22.59,24.34,25.10,23.59,72,281.57,195.24,495.07,0
25,21.41,25.18,26.45,23.00,71,282.96,218.24,500.02,0
26,26.65,26.63,24.74,21.90,70,283.55,240.14,505.02,0
27,32.84,25.87,25.48,22.50,69,282.62,262.65,510.07,0
28,31.97,25.44,27.89,23.70,68,282.42,3.92,515.17,1
29,29.41,23.69,26.90,25.29,67,282.68,29.21,520.33,0
30,25.12,25.44,27.40,25.13,66,284.88,54.34,525.53,0
31,22.26,25.61,26.95,24.67,65,285.39,79.00,530.78,0
32,27.12,24.37,25.32,25.17,64,285.76,104.18,536.09,0
33,27.79,24.68,25.96,23.85,63,287.53,128.03,541.45,0
34,29.96,24.79,24.84,24.29,62,289.13,152.32,546.87,0
35,31.75,26.57,25.38,23.90,61,290.77,176.22,552.34,0
36,36.81,25.87,24.86,24.86,60,290.63,201.08,557.86,0
37,39.38,26.91,24.21,27.92,59,291.23,229.00,563.44,0
38,38.79,26.39,24.18,26.46,58,290.76,255.47,569.07,0
39,37.34,25.37,24.87,26.01,57,290.81,281.48,574.76,0
40,43.98,27.06,25.20,25.88,56,291.98,15.37,580.51,1
41,48.02,28.16,24.95,28.21,55,291.41,43.58,586.32,0
42,46.08,26.75,24.78,27.97,54,289.59,71.56,592.18,0
43,42.65,25.13,24.77,28.68,53,289.12,100.24,598.10,0
44,37.47,26.90,25.90,27.11,52,290.38,127.35,604.08,0
45,38.08,28.15,26.90,29.37,51,289.84,156.72,610.12,0
46,31.61,26.15,24.58,27.96,50,287.86,184.68,616.22,0
47,34.83,25.21,23.48,26.22,49,287.88,210.90,622.39,0
48,33.98,25.41,22.84,25.35,48,288.94,236.26,628.61,0
49,35.84,24.90,23.18,26.13,47,289.89,262.38,634.90,0
50,36.14,26.00,23.46,26.00,46,291.48,288.38,641.25,0
51,35.19,26.18,24.76,26.78,45,292.03,23.14,647.66,1
52,38.94,26.50,24.08,26.16,44,292.43,49.29,654.13,0
53,34.29,26.48,23.93,25.24,43,292.53,74.54,660.68,0
54,27.76,28.41,23.25,25.41,42,292.65,99.95,667.28,0
55,31.49,25.28,23.06,24.69,41,290.66,124.63,673.96,0
56,41.57,24.89,25.12,25.38,40,291.92,150.02,680.70,0
57,40.01,27.14,25.54,25.62,39,293.73,175.64,687.50,0
58,40.90,26.60,24.03,26.03,38,293.24,201.66,694.38,0
59,38.42,27.38,25.40,25.17,37,293.31,226.83,701.32,0
60,41.94,28.00,25.72,27.03,36,292.52,253.86,708.33,0
61,38.36,28.15,24.40,26.76,35,290.97,280.62,715.42,0
62,33.13,27.62,26.34,27.62,34,289.10,19.14,722.57,1
63,29.72,26.99,26.76,25.17,33,287.63,44.31,729.80,0
64,32.64,28.52,26.01,26.80,32,286.71,71.12,737.10,0
65,32.19,28.50,25.09,25.11,31,284.01,96.23,744.47,0
66,28.35,28.47,25.87,24.17,30,281.06,120.39,751.91,0
67,29.27,27.11,23.12,24.06,29,277.85,144.45,759.43,0
68,38.03,27.10,23.20,23.41,28,275.82,167.87,767.02,0
69,41.96,24.57,23.44,24.54,27,273.60,192.41,774.69,0
70,35.55,23.94,24.39,23.75,26,273.93,216.16,782.44,0
71,37.70,25.65,23.05,22.73,25,274.99,238.88,790.27,0
72,29.64,23.67,24.37,24.28,24,274.27,263.17,798.17,0
73,30.49,23.85,23.55,23.14,23,275.67,10.64,806.15,1
74,28.07,25.90,23.62,23.10,22,277.00,33.74,814.21,0
75,33.15,23.76,24.92,23.39,21,276.21,57.13,822.35,0
76,27.69,23.29,24.01,23.32,20,277.69,80.45,830.58,0
77,28.18,25.72,24.98,25.03,19,279.84,105.47,838.88,0
78,29.14,24.59,25.35,26.88,18,279.54,132.35,847.27,0
79,25.05,25.70,24.43,25.58,17,280.44,157.92,855.74,0
80,28.54,26.25,24.20,25.19,16,280.21,183.12,864.30,0
81,31.50,27.66,23.23,27.67,15,279.36,210.79,872.95,0
82,32.10,27.68,22.23,27.38,14,276.86,238.16,881.67,0
83,29.74,27.84,22.38,25.96,13,274.10,264.12,890.49,0
84,24.88,26.35,23.72,27.41,12,270.89,20.64,899.40,1
85,33.85,25.13,23.85,26.37,11,268.99,47.01,908.39,0
86,34.38,25.87,25.40,25.81,10,268.25,72.82,917.47,0
87,39.11,24.58,24.07,25.16,9,266.62,97.98,926.65,0
88,31.55,22.97,22.11,25.69,8,266.25,123.67,935.92,0
89,32.27,23.07,20.61,25.35,7,267.60,149.02,945.27,0
90,33.01,23.51,21.66,25.41,6,268.99,174.43,954.73,0
91,35.75,23.52,21.89,26.66,5,270.03,201.09,964.27,0
92,31.44,23.79,22.18,30.67,4,271.16,231.77,973.92,0
93,27.11,23.68,22.41,27.96,3,272.10,259.73,983.66,0
