# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,24.11,27.04,17.17,26.22,5,287.03,1307.18,968.01,0
2,23.30,27.61,22.43,26.79,4,285.98,1333.97,977.69,0
3,25.50,27.83,22.72,24.50,3,284.21,1358.48,987.47,0
4,28.09,28.28,21.49,24.60,2,282.01,1101.07,997.34,1
5,27.98,26.24,22.12,24.80,1,279.11,846.76,1007.32,1
6,32.78,26.16,28.12,24.75,1,282.69,871.50,1007.29,0
7,34.25,27.10,30.11,24.89,1,280.03,616.37,1007.26,1
8,31.48,26.31,24.53,25.75,1,274.91,367.21,1007.23,1
9,27.17,27.26,24.62,25.17,1,275.42,116.97,1007.21,1
10,27.15,23.61,25.57,25.52,1,275.87,142.48,1007.18,0
11,25.94,24.38,24.94,25.39,1,275.33,167.87,1007.15,0
12,24.70,23.74,19.91,23.25,1,275.43,191.12,1007.12,0
13,25.02,23.27,21.53,24.68,1,281.07,215.80,1007.09,0
14,22.86,24.38,21.20,25.26,1,285.49,241.06,1007.06,0
15,31.44,23.39,26.30,24.72,1,290.72,265.78,1007.04,0
16,30.10,24.56,28.11,23.80,1,290.86,289.58,1007.01,0
17,34.31,22.43,25.13,26.54,1,289.03,316.12,1006.98,0
18,31.84,23.01,26.67,27.27,1,290.29,343.39,1006.95,0
19,31.63,24.07,26.35,24.01,1,289.98,367.40,1006.91,0
20,30.35,22.46,21.91,27.06,1,290.00,394.46,1006.88,0
21,28.66,23.22,25.06,25.98,1,294.90,420.45,1006.85,0
22,31.00,22.41,26.35,25.41,1,296.82,445.86,1006.82,0
23,30.65,22.47,28.43,25.58,1,297.52,471.43,1006.79,0
24,36.44,22.53,29.84,27.23,1,296.00,498.66,1006.76,0
25,31.75,24.01,27.54,25.65,1,292.78,524.31,1006.73,0
26,38.95,25.74,34.26,26.43,1,291.77,550.74,1006.69,0
27,36.78,25.27,30.71,25.62,1,283.27,576.36,1006.66,0
28,34.17,24.09,25.53,24.00,1,277.81,322.55,1006.63,1
29,35.40,24.13,27.53,25.30,1,277.51,70.34,1006.59,1
30,32.01,25.55,25.67,24.77,3,275.42,95.10,986.66,0
31,30.86,26.48,25.86,24.32,2,274.85,119.43,996.52,0
32,32.94,26.05,28.06,26.37,1,273.21,145.80,1006.49,0
33,28.68,25.18,20.09,25.78,2,274.77,171.58,996.45,0
34,29.71,23.18,21.46,25.47,1,274.55,197.05,1006.42,0
35,34.65,24.63,32.81,25.89,1,278.40,222.94,1006.38,0
36,28.05,24.33,23.90,25.33,82,272.77,248.27,447.46,0
37,29.34,24.42,27.56,25.43,81,273.29,0.41,451.94,1
38,32.26,25.01,29.16,27.99,80,273.75,28.40,456.46,0
39,28.43,25.52,25.07,28.17,79,273.62,56.58,461.02,0
40,30.15,26.35,21.00,27.31,78,272.91,83.88,465.63,0
41,34.88,25.01,25.94,26.60,77,271.22,110.49,470.29,0
42,35.31,24.48,30.25,26.03,76,270.83,136.52,474.99,0
43,33.76,24.67,27.70,22.96,75,270.98,159.48,479.74,0
44,33.03,23.60,26.88,22.98,74,270.93,182.45,484.54,0
45,31.13,24.11,25.15,24.21,73,272.07,206.67,489.38,0
46,32.68,24.76,29.21,24.45,72,272.75,231.12,494.28,0
47,27.93,25.70,23.73,26.01,71,272.80,257.13,499.22,0
48,21.22,27.94,20.11,24.98,70,271.80,10.30,504.21,1
49,22.96,26.85,20.15,26.61,69,268.25,36.91,509.26,0
