# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,28.88,25.09,27.20,26.09,1,287.79,49.96,1007.42,0
2,24.26,20.69,26.76,26.16,1,286.65,76.12,1007.39,0
3,22.40,23.27,26.59,25.89,1,285.87,102.01,1007.37,0
4,25.70,20.64,26.29,24.18,1,285.22,126.20,1007.34,0
5,21.57,17.15,26.56,24.60,1,284.82,150.79,1007.32,0
6,26.97,23.65,26.86,23.97,1,284.09,174.76,1007.29,0
7,25.68,23.26,26.57,26.23,1,282.95,200.99,1007.26,0
8,29.98,33.39,27.38,22.69,1,282.02,223.68,1007.23,0
9,26.61,20.43,26.76,20.55,1,280.10,244.24,1007.21,0
10,27.95,24.25,26.87,23.48,1,278.68,267.72,1007.18,0
11,28.44,25.07,27.25,24.34,1,276.99,15.07,1007.15,1
12,21.74,23.42,24.85,22.16,1,274.71,37.23,1007.12,0
13,20.28,15.86,24.42,21.25,1,274.85,58.49,1007.09,0
14,24.25,18.72,23.25,19.74,1,275.47,78.23,1007.06,0
15,24.93,27.87,23.93,22.51,1,277.45,100.74,1007.04,0
16,23.04,22.26,25.27,22.80,1,278.87,123.54,1007.01,0
17,24.28,23.12,24.75,22.91,1,278.96,146.45,1006.98,0
18,27.35,22.69,26.56,24.94,1,279.63,171.39,1006.95,0
19,24.74,22.56,27.00,24.32,1,278.38,195.72,1006.91,0
20,24.94,21.29,25.02,24.43,1,276.51,220.14,1006.88,0
21,26.44,26.31,24.69,23.99,1,276.64,244.13,1006.85,0
22,24.25,22.52,24.25,22.14,1,277.15,266.27,1006.82,0
23,17.10,13.84,24.16,22.74,1,278.19,10.82,1006.79,1
24,21.78,18.39,23.59,21.27,1,279.43,32.09,1006.76,0
25,19.95,16.80,23.63,22.63,1,281.41,54.73,1006.73,0
26,21.29,19.94,26.24,22.61,1,283.57,77.34,1006.69,0
27,23.29,20.15,27.20,22.65,1,283.06,99.99,1006.66,0
28,26.16,22.06,27.70,22.10,1,281.45,122.09,1006.63,0
29,28.62,24.89,27.47,25.50,1,279.12,147.59,1006.59,0
30,33.26,27.84,27.27,22.66,1,276.82,170.25,1006.56,0
31,31.65,27.24,25.69,24.21,1,274.50,194.46,1006.52,0
32,32.39,30.66,27.05,27.67,1,273.69,222.12,1006.49,0
33,33.12,28.75,25.82,25.42,1,271.30,247.54,1006.45,0
34,33.01,26.52,25.33,25.69,1,270.02,3.21,1006.42,1
35,31.19,25.27,24.22,25.30,1,269.16,28.51,1006.38,0
36,28.88,27.27,24.55,25.05,1,269.43,53.56,1006.35,0
37,25.88,22.29,22.52,25.25,1,269.37,78.80,1006.31,0
38,20.19,20.13,24.88,25.49,1,271.53,104.30,1006.27,0
39,17.04,18.55,23.70,24.75,1,271.31,129.04,1006.24,0
