# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,22.16,18.28,21.91,26.45,1,281.24,254.35,1007.42,0
2,25.02,23.49,22.97,26.01,1,285.26,280.37,1007.39,0
3,29.61,23.93,24.38,27.50,1,288.52,19.34,1007.37,1
4,38.21,29.73,31.90,28.94,1,290.56,48.28,1007.34,0
5,36.59,26.65,31.28,27.92,1,284.52,76.20,1007.32,0
6,38.80,29.26,27.38,24.50,2,280.44,100.70,997.29,0
7,39.46,32.99,34.42,27.66,1,276.30,128.37,1007.26,0
8,39.96,32.19,30.08,27.78,2,268.17,156.14,997.23,0
9,40.38,31.58,31.02,27.56,1,259.58,183.70,1007.21,0
10,38.84,31.55,29.74,25.64,1,251.41,209.35,1007.18,0
11,34.96,28.97,30.58,26.25,1,243.84,235.60,1007.15,0
12,36.39,28.45,27.88,25.02,1,234.59,26.04,1007.12,1
13,34.00,24.77,26.58,25.28,1,227.37,51.32,1007.09,0
14,25.24,22.12,17.76,26.27,1,220.87,77.59,1007.06,0
15,25.00,20.75,19.16,24.47,1,223.43,102.06,1007.04,0
16,20.94,16.25,18.25,23.79,1,224.70,125.85,1007.01,0
17,21.80,21.40,21.84,22.94,1,227.09,148.79,1006.98,0
18,18.90,17.42,16.01,22.61,1,225.78,171.40,1006.95,0
19,22.68,20.24,20.67,22.79,1,230.74,194.19,1006.91,0
20,19.25,18.62,19.31,22.05,1,231.09,216.24,1006.88,0
21,17.98,15.33,15.15,21.63,1,232.95,4.92,1006.85,1
22,18.65,13.83,15.75,23.07,1,239.59,28.00,1006.82,0
23,24.04,20.04,21.95,23.50,1,246.22,51.50,1006.79,0
24,23.97,17.30,22.55,24.18,1,246.69,75.68,1006.76,0
25,28.96,23.00,22.91,26.12,1,246.56,101.79,1006.73,0
26,23.54,22.53,20.24,25.42,1,246.01,127.22,1006.69,0
27,24.67,18.31,22.92,25.65,1,248.35,152.86,1006.66,0
28,18.85,14.88,18.33,23.74,1,247.98,176.60,1006.63,0
29,24.49,22.79,21.48,23.49,1,252.61,200.09,1006.59,0
30,26.81,18.65,21.43,22.18,1,254.24,222.27,1006.56,0
31,24.75,19.18,22.52,21.79,1,256.09,244.06,1006.52,0
32,28.43,24.56,21.86,20.63,2,259.62,5.07,996.49,1
33,26.11,21.24,19.18,22.09,1,258.57,27.16,1006.45,0
34,25.42,19.75,21.77,21.37,1,263.33,48.54,1006.42,0
35,23.80,19.29,21.01,26.23,1,265.71,74.77,1006.38,0
36,29.04,23.17,24.52,28.47,1,269.17,103.24,1006.35,0
37,29.08,27.97,23.48,25.43,2,273.62,128.68,996.31,0
38,26.30,21.91,24.28,23.03,1,270.21,151.71,1006.27,0
39,27.71,24.53,24.26,21.93,1,270.52,173.63,1006.24,0
40,18.70,19.09,18.99,23.07,1,270.89,196.70,1006.20,0
41,20.09,18.52,19.10,21.01,1,277.09,217.71,1006.16,0
42,20.00,19.18,19.89,20.91,1,283.79,238.62,1006.12,0
43,25.71,21.65,22.17,21.63,1,290.29,260.25,1006.08,0
44,25.71,23.79,26.26,23.90,1,294.93,284.15,1006.04,0
45,31.07,25.95,25.27,24.16,3,299.91,8.41,986.10,1
46,31.92,27.54,23.48,24.17,2,301.35,32.58,995.96,0
47,26.73,16.92,24.60,22.71,1,301.19,55.29,1005.92,0
48,32.32,29.64,26.29,23.39,13,311.36,78.68,892.21,0
49,29.73,26.58,26.69,24.63,12,309.89,103.31,901.13,0
50,33.02,25.93,30.31,25.21,11,311.64,128.52,910.14,0
51,37.38,30.25,27.36,27.37,10,314.28,155.89,919.24,0
52,35.76,31.80,30.72,28.86,9,312.43,184.75,928.43,0
53,30.14,24.55,23.57,28.58,8,308.70,213.33,937.72,0
54,29.86,23.78,22.84,25.56,7,312.56,238.88,947.10,0
55,31.29,26.65,25.96,26.03,6,317.66,264.92,956.57,0
56,37.95,34.01,32.61,25.17,5,320.12,290.08,966.13,0
57,38.01,32.32,31.94,26.64,4,314.72,2.01,975.79,1
58,34.89,29.13,27.40,27.47,3,310.64,29.48,985.55,0
59,28.11,26.34,21.82,27.09,2,309.66,56.58,995.41,0
60,32.10,26.44,26.26,26.98,1,311.65,83.55,1005.36,0
61,29.88,21.24,24.63,25.61,1,313.93,109.16,1005.31,0
62,35.20,28.77,31.09,27.18,1,318.24,136.34,1005.27,0
63,34.30,26.31,27.86,29.89,11,317.57,166.23,909.56,0
64,44.88,35.69,34.03,28.66,10,320.38,194.89,918.66,0
65,44.07,36.85,37.49,31.28,9,313.16,226.17,927.84,0
66,36.08,28.09,32.17,27.80,8,303.94,253.97,937.12,0
67,33.83,27.57,27.55,26.29,7,303.44,280.26,946.49,0
68,30.96,26.28,24.61,26.02,6,303.45,2.83,955.96,1
69,30.38,26.26,26.66,25.22,5,304.89,28.06,965.52,0
70,32.42,27.55,23.80,25.42,4,306.49,53.48,975.17,0
71,38.05,29.68,27.97,28.89,3,306.83,82.37,984.92,0
72,35.41,32.00,27.78,29.20,2,304.87,111.57,994.77,0
73,33.83,23.40,26.35,26.37,1,300.15,137.94,1004.72,0
74,35.80,29.41,29.25,25.03,1,301.18,162.97,1004.67,0
75,36.99,29.56,31.78,25.91,1,299.12,188.87,1004.61,0
76,33.48,24.34,27.39,25.81,7,297.86,214.68,946.03,0
77,36.48,29.74,27.25,25.48,6,300.87,240.16,955.49,0
78,32.68,28.32,28.52,26.17,5,298.24,266.34,965.04,0
79,33.59,27.31,25.60,24.06,4,296.91,290.40,974.69,0
80,32.49,26.40,26.55,25.53,3,296.56,19.37,984.44,1
81,34.20,29.10,23.38,27.48,2,297.17,46.85,994.28,0
82,36.51,26.87,29.02,26.75,1,294.88,73.60,1004.23,0
83,35.53,25.32,30.20,25.28,1,292.44,98.88,1004.17,0
84,34.94,28.40,26.01,24.69,3,293.36,123.57,984.21,0
85,31.67,26.48,23.73,25.86,2,291.46,149.44,994.05,0
86,34.40,27.02,28.23,23.31,1,291.48,172.75,1003.99,0
87,35.95,28.28,27.61,25.28,1,289.57,198.03,1003.93,0
88,40.14,30.28,28.51,26.52,1,288.15,224.56,1003.87,0
89,30.75,26.33,27.63,25.50,1,285.61,250.06,1003.81,0
90,32.58,26.19,26.98,22.46,1,283.79,272.52,1003.75,0
91,32.53,25.83,27.33,24.64,1,282.49,14.67,1003.68,1
92,26.67,21.59,23.35,25.44,6,282.66,40.10,954.60,0
