# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,32.38,24.82,29.73,24.40,1,284.83,1622.95,1007.42,0
2,31.32,26.10,25.87,22.65,1,280.62,1645.59,1007.39,0
3,29.47,24.55,29.82,23.66,1,280.22,1669.26,1007.37,0
4,33.16,26.61,29.00,23.58,1,275.45,1692.84,1007.34,0
5,33.50,24.79,29.36,24.34,1,271.09,1717.18,1007.32,0
6,32.21,29.44,26.96,24.76,1,265.91,1741.94,1007.29,0
7,27.34,24.72,24.29,24.59,1,262.84,1766.53,1007.26,0
8,22.16,14.98,19.83,23.93,1,262.40,1790.47,1007.23,0
9,17.96,17.20,17.06,23.22,1,266.83,1813.69,1007.21,0
10,20.82,20.99,19.09,21.93,1,274.75,1835.62,1007.18,0
11,27.55,19.93,20.59,20.15,1,281.23,1855.77,1007.15,0
12,23.81,22.82,23.20,21.06,1,286.70,1876.83,1007.12,0
13,23.69,16.74,23.01,22.19,1,289.85,1899.02,1007.09,0
14,23.43,16.94,20.52,22.90,7,296.87,1625.04,948.53,1
15,29.34,23.94,24.84,22.02,6,307.93,1339.14,958.02,1
16,31.18,26.08,20.95,23.99,5,312.38,1050.75,967.60,1
17,34.01,29.45,29.10,25.77,4,314.93,761.58,977.27,1
18,33.62,29.43,28.17,24.93,3,314.03,472.48,987.04,1
19,30.71,28.29,24.44,23.57,2,313.06,182.99,996.91,1
20,35.35,29.05,30.67,25.01,1,313.25,207.99,1006.88,0
21,34.50,29.16,28.66,26.39,1,310.84,234.38,1006.85,0
22,34.45,26.92,26.47,23.63,1,310.39,258.01,1006.82,0
23,37.14,28.64,32.10,26.21,1,312.32,284.22,1006.79,0
24,35.83,29.98,28.72,27.51,1,308.24,3.48,1006.76,1
25,37.54,30.22,31.61,28.29,1,307.48,31.77,1006.73,0
26,30.53,26.85,24.61,28.36,1,303.45,60.14,1006.69,0
27,23.02,19.93,20.24,26.91,1,306.72,87.05,1006.66,0
28,28.15,25.66,29.29,25.87,1,315.13,112.92,1006.63,0
29,31.06,26.76,28.62,22.94,8,316.45,135.86,938.64,0
30,35.46,29.01,27.91,23.75,7,318.65,159.61,948.02,0
31,35.80,27.14,28.62,24.88,6,318.60,184.49,957.50,0
