# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,31.34,25.65,23.74,23.44,1,284.78,674.03,1007.42,0
2,37.30,24.62,24.12,22.10,1,287.14,696.13,1007.39,0
3,28.19,25.24,24.51,23.58,1,289.33,719.71,1007.37,0
4,31.11,24.38,26.20,24.83,1,291.30,744.54,1007.34,0
5,29.84,24.82,27.67,25.96,1,291.61,770.50,1007.32,0
6,31.63,24.51,27.56,24.97,1,290.33,795.47,1007.29,0
7,30.15,25.64,27.60,25.36,1,289.05,820.83,1007.26,0
8,24.74,25.89,28.71,25.16,1,287.60,845.99,1007.23,0
9,18.84,26.08,26.13,22.92,1,284.78,868.91,1007.21,0
10,21.94,26.75,27.26,22.41,1,284.52,891.33,1007.18,0
11,18.31,25.04,25.54,22.85,1,282.98,914.18,1007.15,0
12,16.44,24.65,25.55,21.86,1,283.19,936.04,1007.12,0
13,19.90,22.27,25.88,21.48,1,283.40,957.52,1007.09,0
14,20.50,23.30,26.58,21.85,1,283.27,979.38,1007.06,0
15,22.99,23.61,27.47,21.26,1,282.37,1000.64,1007.04,0
16,24.78,23.57,26.45,23.48,1,280.38,1024.11,1007.01,0
17,25.85,24.91,25.78,24.99,1,279.33,769.78,1006.98,1
18,22.33,26.03,25.11,23.46,1,278.91,514.33,1006.95,1
19,25.68,25.87,24.36,25.05,1,279.18,260.21,1006.91,1
20,28.01,25.28,24.97,24.09,1,280.30,284.30,1006.88,0
21,37.53,23.72,24.67,24.33,1,280.86,308.63,1006.85,0
22,35.88,22.62,26.75,25.94,1,281.81,334.58,1006.82,0
23,36.47,22.02,25.71,26.52,1,280.56,361.10,1006.79,0
24,28.77,22.28,26.16,26.09,1,280.34,387.18,1006.76,0
25,32.42,22.49,25.75,24.96,1,279.60,132.54,1006.73,1
26,36.05,23.10,26.60,24.57,1,279.23,157.11,1006.69,0
27,33.97,23.96,27.07,23.13,1,277.89,180.24,1006.66,0
28,36.02,23.42,27.07,24.20,16,278.11,204.44,866.59,0
29,32.75,23.62,25.12,24.69,15,280.16,229.13,875.25,0
30,31.82,24.46,24.95,23.70,14,282.19,252.83,884.01,0
31,37.55,25.25,23.11,24.44,13,283.50,277.27,892.85,0
32,42.46,25.48,24.18,25.06,12,284.07,302.33,901.78,0
33,38.69,25.16,25.76,24.69,11,284.45,327.02,910.79,0
34,38.89,26.04,25.29,25.67,10,285.21,352.68,919.90,0
35,31.51,25.65,27.15,26.26,9,285.09,378.94,929.10,0
36,37.64,27.55,25.81,26.31,8,285.38,405.25,938.39,0
37,42.47,26.44,25.35,25.38,7,283.62,430.63,947.78,0
38,41.45,27.63,24.36,25.60,6,282.90,456.23,957.25,0
39,41.59,26.86,24.16,28.55,5,280.80,484.78,966.83,0
40,41.87,26.33,23.96,26.32,4,279.33,231.76,976.49,1
41,35.38,26.28,23.64,27.82,3,278.30,259.58,986.26,0
42,28.27,27.50,24.27,25.90,2,277.23,8.26,996.12,1
43,26.00,25.50,24.50,24.30,1,274.70,32.55,1006.08,0
44,29.28,24.72,23.40,24.42,1,275.22,56.97,1006.04,0
45,32.56,24.61,24.65,26.01,1,277.00,82.98,1006.00,0
46,35.46,24.77,25.62,26.23,1,277.59,109.21,1005.96,0
47,33.38,26.78,25.46,26.83,1,277.16,136.04,1005.92,0
48,31.69,23.73,25.47,26.31,1,276.87,162.35,1005.88,0
49,30.06,24.81,25.85,25.54,1,276.55,187.89,1005.84,0
50,30.75,22.91,25.55,24.72,1,275.77,212.60,1005.80,0
51,35.25,23.60,23.92,27.34,1,275.24,239.94,1005.76,0
52,33.12,25.44,24.17,26.94,1,276.45,266.89,1005.72,0
53,28.73,24.38,24.46,26.63,1,277.50,16.02,1005.67,1
54,32.52,25.39,24.57,27.94,1,278.35,43.96,1005.63,0
55,32.94,25.22,25.07,28.61,1,279.15,72.57,1005.59,0
56,34.00,25.33,24.96,27.13,1,279.49,99.70,1005.54,0
57,36.75,25.20,23.55,25.22,1,279.98,124.92,1005.50,0
58,39.52,23.62,24.34,26.10,1,282.07,151.02,1005.45,0
59,34.54,24.83,24.50,25.68,1,283.50,176.70,1005.41,0
60,34.50,24.98,26.94,24.50,1,284.90,201.19,1005.36,0
61,30.91,25.75,26.76,24.57,1,283.76,225.77,1005.31,0
62,28.17,26.89,26.07,23.03,1,282.70,248.80,1005.27,0
63,31.52,25.43,27.69,22.77,1,282.30,271.56,1005.22,0
64,32.47,23.24,28.25,24.07,1,280.07,295.63,1005.17,0
65,36.41,23.78,26.74,24.20,1,277.00,42.83,1005.12,1
66,37.97,25.48,24.76,27.12,4,278.02,69.95,975.37,0
67,36.40,24.96,24.97,27.14,3,277.79,97.09,985.12,0
68,43.34,25.27,22.82,29.13,2,278.11,126.22,994.98,0
69,45.47,25.38,23.62,27.72,1,278.12,153.94,1004.93,0
70,37.87,26.48,23.78,26.98,1,279.96,180.92,1004.88,0
71,39.07,25.32,24.75,25.85,1,281.79,206.77,1004.82,0
72,35.13,24.87,24.41,25.49,1,282.75,232.26,1004.77,0
73,36.82,24.88,25.36,24.51,1,284.17,256.77,1004.72,0
74,30.77,24.47,24.85,24.26,1,284.69,281.03,1004.67,0
75,37.12,26.02,25.34,24.99,1,285.82,306.02,1004.61,0
76,34.78,24.80,26.18,24.74,1,286.54,330.77,1004.56,0
77,32.30,24.88,25.42,24.15,1,286.39,354.92,1004.51,0
78,34.70,23.43,24.74,25.49,1,287.07,380.40,1004.45,0
79,32.82,23.33,26.01,23.29,1,288.56,403.69,1004.40,0
80,30.81,24.56,25.06,26.95,1,288.80,430.64,1004.34,0
81,33.61,25.38,25.35,24.29,1,290.11,454.93,1004.28,0
82,33.50,24.39,25.72,27.17,1,291.24,482.09,1004.23,0
83,31.10,24.58,25.43,27.55,1,292.07,509.64,1004.17,0
84,35.19,25.42,27.16,26.47,1,293.30,536.11,1004.11,0
85,30.55,25.05,25.76,24.89,1,292.76,561.00,1004.05,0
86,28.19,25.43,27.51,24.39,1,293.69,585.39,1003.99,0
87,27.05,24.98,26.06,23.42,1,292.79,608.81,1003.93,0
88,26.68,24.02,27.58,24.81,1,293.41,633.62,1003.87,0
89,29.58,25.38,27.04,24.89,1,292.40,658.51,1003.81,0
90,27.74,25.88,28.34,24.06,1,291.90,682.57,1003.75,0
91,34.90,27.09,28.61,24.16,1,289.92,706.72,1003.68,0
92,27.87,28.28,27.13,23.57,3,289.65,730.29,983.72,0
93,31.57,27.37,26.21,23.76,2,287.50,754.05,993.56,0
94,27.25,27.18,26.88,25.10,1,286.14,779.15,1003.49,0
95,26.55,26.67,26.46,23.54,1,285.19,802.69,1003.43,0
96,31.32,26.34,26.17,23.33,1,284.60,826.02,1003.36,0
97,29.25,25.02,25.74,24.89,1,284.27,850.91,1003.30,0
98,27.54,25.21,26.60,25.46,1,284.39,876.38,1003.23,0
99,28.61,23.25,27.37,26.21,34,283.62,902.59,720.47,0
100,26.64,23.94,26.44,23.43,33,286.41,926.02,727.67,0
101,28.07,24.22,26.83,22.14,32,288.71,948.16,734.95,0
102,34.22,26.71,26.75,25.05,31,290.94,973.21,742.30,0
103,23.68,26.95,27.36,25.19,30,290.65,998.40,749.72,0
104,30.04,27.82,27.32,24.09,29,290.07,1022.48,757.22,0
105,27.90,26.00,26.69,26.76,28,288.47,1049.24,764.79,0
