# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,24.39,24.11,24.28,25.38,1,274.23,74.14,1007.42,0
2,22.67,23.87,23.12,26.09,1,274.94,100.23,1007.39,0
3,20.14,24.12,23.41,24.57,1,277.00,124.80,1007.37,0
4,15.47,24.55,25.16,24.52,1,278.95,149.32,1007.34,0
5,17.61,24.18,25.86,25.12,1,279.16,174.44,1007.32,0
6,16.04,24.58,24.26,22.84,1,278.63,197.28,1007.29,0
7,15.18,25.55,24.55,22.12,1,279.80,219.39,1007.26,0
8,14.53,26.01,24.64,22.40,1,280.77,241.79,1007.23,0
9,17.69,24.80,27.23,22.02,1,281.75,263.81,1007.21,0
10,22.85,24.67,26.36,22.00,1,279.98,5.84,1007.18,1
11,28.68,24.65,25.60,24.36,1,278.98,30.20,1007.15,0
12,28.17,24.93,27.25,24.60,1,278.72,54.80,1007.12,0
13,28.54,26.35,26.61,22.68,1,276.61,77.47,1007.09,0
14,26.71,26.22,26.69,22.04,1,275.01,99.52,1007.06,0
15,18.86,25.23,25.98,20.20,1,273.15,119.72,1007.04,0
16,24.49,24.17,25.48,21.22,1,271.89,140.93,1007.01,0
17,25.52,24.56,24.72,22.74,1,271.05,163.68,1006.98,0
18,24.55,24.42,24.36,22.18,1,270.96,185.85,1006.95,0
19,25.59,24.50,23.74,22.69,1,271.26,208.54,1006.91,0
20,33.19,23.57,22.32,23.14,1,272.28,231.68,1006.88,0
21,36.44,23.69,24.85,25.27,1,274.95,256.95,1006.85,0
22,39.21,23.88,24.61,23.93,1,275.12,280.88,1006.82,0
23,35.83,25.66,24.98,26.51,1,275.56,307.39,1006.79,0
24,33.15,25.43,24.60,25.91,1,275.64,333.30,1006.76,0
25,28.71,25.53,25.54,26.08,1,276.14,359.38,1006.73,0
26,27.32,23.59,24.18,24.53,1,275.66,383.91,1006.69,0
27,24.84,24.91,23.72,25.37,1,276.63,409.28,1006.66,0
28,27.90,23.72,24.42,24.65,1,278.19,433.93,1006.63,0
29,35.14,24.18,23.81,23.78,1,279.15,178.55,1006.59,1
30,32.37,23.19,23.75,23.80,1,280.88,202.35,1006.56,0
31,31.59,24.68,24.12,25.51,1,282.84,227.86,1006.52,0
32,30.79,24.91,24.87,26.89,1,284.59,254.74,1006.49,0
33,26.64,25.02,24.47,26.72,1,285.69,281.46,1006.45,0
34,32.20,23.66,25.53,26.28,1,287.35,20.40,1006.42,1
35,32.18,23.28,24.71,24.26,1,287.99,44.66,1006.38,0
36,31.15,25.30,27.90,23.12,1,289.61,67.78,1006.35,0
37,28.57,25.41,27.82,22.18,1,287.88,89.96,1006.31,0
38,28.88,25.33,28.75,23.43,1,286.08,113.40,1006.27,0
39,27.98,25.39,27.90,24.22,1,283.06,137.62,1006.24,0
40,40.58,24.45,26.78,24.58,1,280.68,162.20,1006.20,0
41,44.21,24.41,26.32,27.40,1,279.29,189.59,1006.16,0
42,42.79,25.61,26.23,26.34,1,278.26,215.93,1006.12,0
43,33.19,24.87,25.35,24.44,1,277.24,240.38,1006.08,0
44,37.65,24.12,26.07,27.00,1,277.08,267.38,1006.04,0
45,34.18,24.86,24.55,25.30,1,276.11,292.68,1006.00,0
46,31.78,25.97,24.75,25.17,1,276.72,317.85,1005.96,0
47,34.61,24.50,25.16,26.27,1,277.16,344.12,1005.92,0
48,32.41,24.52,24.94,27.40,1,277.20,371.52,1005.88,0
49,31.82,22.67,26.26,23.83,1,277.48,395.35,1005.84,0
50,31.44,23.88,25.53,23.32,1,276.35,418.67,1005.80,0
51,27.62,24.59,26.35,23.46,1,275.91,442.14,1005.76,0
52,27.91,23.79,24.95,23.77,1,274.51,465.91,1005.72,0
