# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,21.28,19.74,25.83,21.59,1,269.73,76.78,1007.42,0
2,22.27,18.95,26.31,22.88,1,268.29,99.67,1007.39,0
3,24.86,20.40,25.23,22.23,6,268.01,121.90,958.35,0
4,26.93,23.23,23.35,23.34,5,272.36,145.24,967.93,0
5,31.39,26.60,22.92,23.13,4,274.05,168.37,977.61,0
6,28.96,22.13,23.29,21.43,3,272.19,189.80,987.39,0
7,32.91,27.95,21.20,25.38,2,275.07,215.19,997.26,0
8,24.07,20.15,22.70,25.47,1,271.83,240.65,1007.23,0
9,28.65,20.41,25.66,23.58,4,279.30,264.23,977.50,0
10,35.63,32.37,24.69,23.01,3,284.77,2.46,987.28,1
11,32.40,29.09,24.82,25.21,2,277.65,27.67,997.15,0
12,26.67,25.11,24.74,26.58,1,273.41,54.26,1007.12,0
13,31.18,26.26,25.26,25.80,1,273.53,80.05,1007.09,0
14,29.41,22.96,25.37,26.23,1,273.10,106.29,1007.06,0
15,28.13,24.13,24.32,26.76,1,272.51,133.04,1007.04,0
16,25.86,20.61,25.33,25.98,1,273.01,159.02,1007.01,0
17,25.64,21.85,26.13,25.74,13,273.67,184.76,893.30,0
18,23.63,18.24,26.27,24.38,12,277.00,209.14,902.23,0
19,17.45,16.74,24.46,24.95,11,284.63,234.09,911.25,0
