# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,28.68,27.12,18.86,22.21,3,280.37,190.55,987.52,0
2,27.40,27.23,24.46,21.92,2,278.58,212.47,997.39,0
3,29.09,27.29,24.66,23.33,1,276.49,235.80,1007.37,0
4,36.33,25.02,30.09,25.84,1,277.02,261.64,1007.34,0
5,33.96,24.45,31.63,26.91,42,273.01,15.55,668.97,1
6,33.72,25.75,26.03,25.97,41,273.41,41.51,675.66,0
7,32.72,24.08,26.23,26.64,40,272.43,68.16,682.42,0
8,38.64,24.16,27.94,24.56,39,273.18,92.71,689.24,0
9,33.47,23.90,29.63,22.98,38,273.92,115.69,696.13,0
10,30.88,23.65,26.68,27.06,37,275.02,142.76,703.09,0
11,29.80,24.16,23.96,27.17,36,276.51,169.93,710.12,0
12,28.47,25.41,27.16,26.28,35,277.59,196.21,717.23,0
13,24.17,25.59,18.09,26.08,34,277.39,222.29,724.40,0
14,26.82,26.08,23.53,26.09,33,276.99,248.38,731.64,0
15,23.94,26.55,19.80,24.83,32,275.99,273.22,738.96,0
16,24.69,25.93,21.46,26.78,31,274.38,25.61,746.35,1
17,23.40,26.73,21.85,25.76,30,273.30,51.37,753.81,0
18,18.73,26.60,13.02,23.68,29,271.23,75.04,761.35,0
19,20.13,26.95,19.15,24.73,28,269.09,99.78,768.96,0
20,23.69,25.23,18.86,22.06,27,266.35,121.84,776.65,0
21,19.15,23.41,20.76,22.59,26,265.23,144.43,784.42,0
22,21.59,24.30,20.69,25.22,25,266.00,169.64,792.26,0
23,25.89,23.49,26.19,23.95,24,265.87,193.59,800.19,0
24,29.26,23.33,26.87,23.98,23,266.62,217.57,808.19,0
25,28.67,24.95,25.36,24.02,22,267.62,241.59,816.27,0
26,32.00,23.38,23.65,26.41,21,266.93,1.07,824.43,1
27,26.99,23.93,24.16,26.42,20,267.91,27.49,832.68,0
28,28.93,23.86,21.05,26.10,19,268.38,53.59,841.00,0
