# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,32.48,26.42,29.93,28.67,13,258.38,248.16,893.74,0
2,31.29,25.95,18.90,29.59,12,255.16,22.59,902.68,1
3,31.96,27.08,26.35,29.50,11,252.13,52.09,911.71,0
4,34.62,30.48,28.71,28.30,10,247.56,80.39,920.83,0
5,31.33,25.00,26.26,27.64,9,238.79,108.03,930.03,0
6,28.52,26.13,23.20,26.61,8,235.17,134.64,939.33,0
7,24.44,19.20,19.07,25.16,7,229.94,159.80,948.73,0
8,26.30,20.36,21.04,26.86,6,231.81,186.66,958.22,0
9,20.61,16.54,20.78,26.22,5,232.60,212.88,967.80,0
10,22.66,21.60,14.18,25.28,4,237.66,0.49,977.48,1
11,25.06,22.41,20.51,23.87,3,237.67,24.36,987.25,0
12,25.33,20.18,17.54,24.60,2,236.78,48.96,997.12,0
13,24.98,22.64,19.64,24.09,1,238.26,73.04,1007.09,0
14,21.92,17.84,21.22,21.91,1,240.48,94.95,1007.06,0
15,21.28,13.46,19.74,22.05,1,241.19,117.00,1007.04,0
16,19.23,17.92,21.32,22.97,7,251.58,139.96,948.47,0
17,25.84,20.75,21.87,22.67,6,257.03,162.63,957.96,0
18,28.11,25.36,20.83,23.43,5,259.91,186.07,967.54,0
19,24.95,22.39,19.67,21.96,4,258.00,208.03,977.21,0
20,23.17,21.85,18.65,22.57,3,259.17,230.60,986.98,0
21,20.23,21.19,14.05,22.31,2,261.06,252.90,996.85,0
22,16.96,13.52,17.06,22.55,1,263.86,11.59,1006.82,1
23,22.68,19.55,18.32,22.85,2,272.71,34.44,996.79,0
24,24.97,22.37,24.50,23.49,1,278.48,57.94,1006.76,0
25,30.56,23.46,26.40,23.17,7,281.27,81.11,948.19,0
26,26.42,21.92,21.53,24.39,6,283.60,105.50,957.67,0
27,25.93,23.32,18.93,24.76,5,287.84,130.26,967.25,0
28,24.80,22.52,22.14,26.24,4,290.98,156.50,976.92,0
29,26.96,20.90,21.01,25.95,3,295.30,182.45,986.69,0
30,32.34,27.59,26.55,26.93,2,301.84,209.38,996.56,0
31,35.34,30.81,26.77,26.43,1,301.68,235.80,1006.52,0
32,33.36,27.03,28.59,25.63,1,302.40,261.44,1006.49,0
33,29.91,26.68,22.29,25.35,1,301.19,286.78,1006.45,0
34,36.08,28.51,31.25,28.98,1,306.79,315.76,1006.42,0
35,38.54,26.73,31.73,28.48,1,303.09,344.24,1006.38,0
36,37.84,29.03,30.40,27.21,1,298.49,371.45,1006.35,0
37,37.80,25.95,27.18,27.87,1,294.90,399.32,1006.31,0
38,39.84,32.54,32.43,27.36,1,294.50,426.68,1006.27,0
39,34.84,27.41,27.91,26.86,1,288.28,453.53,1006.24,0
40,32.82,26.66,25.51,24.45,2,287.55,477.98,996.20,0
41,33.29,27.46,29.47,24.35,1,286.98,502.33,1006.16,0
42,37.55,29.06,28.73,24.14,9,284.53,526.47,928.84,0
43,33.48,28.43,28.22,24.12,8,281.02,550.58,938.13,0
44,29.15,23.60,25.62,25.63,7,277.85,576.21,947.51,0
45,30.19,25.83,23.48,26.98,6,279.67,603.19,956.98,0
46,31.81,23.05,25.81,27.05,5,279.23,630.24,966.55,0
47,32.07,29.21,26.14,24.23,4,281.80,654.47,976.22,0
48,27.94,22.35,23.97,26.26,3,277.85,680.73,985.98,0
49,27.76,25.56,22.55,24.14,2,281.05,704.87,995.84,0
50,25.42,22.05,23.51,26.98,1,281.04,731.85,1005.80,0
51,23.90,20.72,19.27,25.57,2,284.73,757.41,995.76,0
52,26.72,23.33,26.27,25.92,1,290.41,783.33,1005.72,0
53,25.82,21.64,22.44,25.40,11,294.00,808.74,910.01,0
54,30.53,27.48,23.81,24.68,10,299.60,833.42,919.11,0
55,33.84,27.69,27.20,23.23,9,299.33,856.65,928.30,0
56,36.52,29.33,34.05,26.29,8,298.80,882.94,937.59,0
57,39.21,30.09,32.10,28.93,7,296.42,911.87,946.96,0
58,33.62,28.53,24.20,27.90,6,292.96,939.77,956.43,0
59,36.86,27.15,30.07,28.63,5,290.87,968.40,966.00,0
60,35.41,30.11,25.17,29.69,4,290.09,998.09,975.66,0
61,35.97,29.98,27.17,28.87,3,285.99,1026.96,985.41,0
62,33.63,28.27,26.99,28.03,2,281.61,1054.99,995.27,0
63,31.41,23.68,25.17,27.74,1,278.68,1082.72,1005.22,0
