# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,30.21,22.96,24.90,25.56,1,276.38,312.75,1007.42,0
2,29.44,25.50,25.80,26.00,1,276.63,338.75,1007.39,0
3,24.37,26.20,25.14,25.73,1,275.91,364.49,1007.37,0
4,30.70,24.74,23.68,25.78,1,275.84,390.27,1007.34,0
5,23.38,15.61,23.36,23.49,1,277.38,413.76,1007.32,0
6,25.70,20.77,24.29,25.23,1,279.42,439.00,1007.29,0
7,26.64,22.19,23.16,26.31,1,280.65,465.31,1007.26,0
8,20.45,15.80,23.78,26.88,1,283.24,492.19,1007.23,0
9,19.38,19.40,23.41,26.70,1,285.40,518.89,1007.21,0
10,24.12,20.19,24.62,25.80,1,288.19,544.69,1007.18,0
11,21.84,19.89,26.14,24.30,1,289.93,568.99,1007.15,0
12,18.07,17.52,25.70,24.73,1,290.16,593.72,1007.12,0
13,20.83,18.12,26.01,23.30,1,290.91,617.02,1007.09,0
14,23.26,19.62,26.29,23.80,1,291.38,640.82,1007.06,0
15,22.80,18.75,26.54,24.80,1,291.60,665.62,1007.04,0
16,29.37,28.00,24.67,26.33,1,291.57,691.94,1007.01,0
17,32.63,25.39,25.14,25.13,1,293.58,717.08,1006.98,0
18,32.97,27.23,26.03,24.81,1,295.29,446.59,1006.95,1
19,30.07,23.05,26.73,26.41,1,296.18,176.82,1006.91,1
20,32.72,29.01,26.75,27.06,1,296.40,203.88,1006.88,0
21,37.84,32.52,28.16,27.78,1,296.62,231.65,1006.85,0
22,31.35,28.63,26.41,27.51,1,295.30,259.16,1006.82,0
23,27.94,21.51,27.33,25.96,1,295.78,285.12,1006.79,0
24,23.76,20.48,27.64,24.63,1,295.30,14.45,1006.76,1
25,22.32,18.91,27.82,23.75,1,294.43,38.20,1006.73,0
26,27.89,23.85,27.40,25.65,1,293.27,63.86,1006.69,0
27,30.31,26.15,27.42,22.86,1,292.45,86.72,1006.66,0
28,26.72,22.19,26.86,24.03,5,294.46,110.75,967.22,0
29,31.70,25.60,25.88,22.31,4,299.49,133.06,976.89,0
30,32.18,28.13,25.13,23.60,3,301.28,156.65,986.66,0
31,39.52,32.89,25.75,27.45,2,300.47,184.10,996.52,0
32,39.30,31.02,27.08,26.99,1,294.34,211.10,1006.49,0
33,32.28,27.16,27.19,28.55,1,293.99,239.64,1006.45,0
34,33.01,28.32,27.56,26.85,1,293.48,266.49,1006.42,0
35,35.69,30.24,28.39,26.24,1,292.51,292.73,1006.38,0
36,33.31,24.13,29.15,25.75,1,290.53,318.48,1006.35,0
37,32.91,29.82,28.41,25.18,1,287.53,343.67,1006.31,0
38,31.56,30.42,27.79,25.86,1,285.03,369.53,1006.27,0
39,23.13,21.10,27.06,24.18,1,282.97,393.71,1006.24,0
40,26.89,22.24,27.59,23.40,1,281.50,417.11,1006.20,0
41,29.85,26.50,27.50,22.93,1,279.30,440.04,1006.16,0
42,28.42,22.81,26.58,23.90,1,276.97,463.94,1006.12,0
43,29.74,24.02,25.34,24.00,1,275.44,487.94,1006.08,0
44,26.68,23.13,24.50,22.85,1,275.11,510.79,1006.04,0
45,27.01,21.97,24.89,21.96,1,275.67,532.75,1006.00,0
46,23.49,21.26,26.36,23.42,8,277.41,556.17,938.01,0
47,27.05,27.43,25.18,23.43,7,281.77,579.60,947.39,0
48,33.64,25.08,26.98,23.71,6,279.77,603.32,956.86,0
49,30.87,26.32,25.39,26.68,5,280.16,630.00,966.43,0
50,37.05,27.18,25.04,27.78,4,279.23,657.78,976.10,0
51,33.71,25.94,25.08,27.60,3,277.26,685.38,985.86,0
52,36.22,30.16,23.99,27.24,2,276.45,712.62,995.72,0
53,29.97,24.48,23.88,26.73,1,270.92,739.35,1005.67,0
54,30.25,26.80,22.42,25.09,1,271.74,764.44,1005.63,0
55,30.09,25.10,24.77,26.74,1,274.25,791.18,1005.59,0
56,25.95,20.85,24.63,26.98,1,274.43,818.16,1005.54,0
57,30.12,22.72,23.86,25.58,1,274.78,843.74,1005.50,0
58,29.17,24.41,23.25,25.01,1,276.01,868.76,1005.45,0
59,31.38,30.50,23.84,23.95,1,278.03,892.71,1005.41,0
60,28.81,20.28,25.35,23.20,1,279.61,915.91,1005.36,0
61,28.74,20.49,24.49,23.57,1,279.69,939.48,1005.31,0
62,36.85,28.42,25.08,25.95,1,280.72,965.43,1005.27,0
63,41.19,32.82,26.03,28.95,1,281.20,994.38,1005.22,0
64,39.46,29.06,24.69,29.54,1,280.68,1023.92,1005.17,0
65,39.67,31.63,25.56,26.57,1,281.60,1050.49,1005.12,0
66,29.68,22.62,25.29,25.60,1,281.64,1076.09,1005.08,0
67,20.76,18.04,23.79,21.89,1,281.98,1097.98,1005.03,0
68,17.05,15.60,24.63,21.62,1,284.01,1119.60,1004.98,0
69,21.93,20.86,23.34,22.26,1,285.32,1141.87,1004.93,0
70,27.68,25.28,26.32,21.14,1,288.18,1163.00,1004.88,0
71,32.82,25.43,25.78,20.77,1,288.04,1183.77,1004.82,0
72,29.25,23.16,26.73,20.56,1,288.49,1204.33,1004.77,0
73,25.95,20.55,28.16,21.50,1,287.94,1225.82,1004.72,0
74,20.88,17.23,27.84,21.23,1,285.75,1247.06,1004.67,0
75,23.75,20.96,27.14,24.29,1,283.70,1271.35,1004.61,0
76,24.52,20.80,26.58,25.30,1,282.22,1296.65,1004.56,0
77,28.08,25.59,28.67,25.59,1,281.20,1322.24,1004.51,0
78,27.46,22.78,27.83,25.89,1,277.78,1348.13,1004.45,0
79,23.59,22.20,27.73,22.92,1,274.95,1371.05,1004.40,0
80,23.82,20.59,26.31,24.33,79,273.33,1395.38,459.13,0
81,21.18,16.49,26.83,22.72,78,278.01,1418.09,463.72,0
82,17.01,15.90,25.86,22.84,77,287.67,1440.93,468.35,0
